route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
29,250728-MULTI-Weekday-01,24609874-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162268,290066,1,1
23,250728-MULTI-Weekday-01,24609875-250728-MULTI-Weekday-01,"23 SANDALWOOD EAST",0,1162397,230129,1,1
29,250728-MULTI-Weekday-01,24609876-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162267,290066,1,1
29,250728-MULTI-Weekday-01,24609877-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162407,290065,1,1
30,250728-MULTI-Weekday-01,24609878-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162445,300081,1,1
30,250728-MULTI-Weekday-01,24609879-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162444,300077,1,1
30,250728-MULTI-Weekday-01,24609880-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162441,300083,1,1
30,250728-MULTI-Weekday-01,24609881-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162445,300083,1,1
30,250728-MULTI-Weekday-01,24609882-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162437,300083,1,1
30,250728-MULTI-Weekday-01,24609883-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162470,300083,1,1
30,250728-MULTI-Weekday-01,24609884-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162432,300083,1,1
30,250728-MULTI-Weekday-01,24609885-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162442,300083,1,1
30,250728-MULTI-Weekday-01,24609886-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162443,300083,1,1
30,250728-MULTI-Weekday-01,24609887-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162434,300083,1,1
30,250728-MULTI-Weekday-01,24609888-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162445,300083,1,1
30,250728-MULTI-Weekday-01,24609889-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162444,300083,1,1
30,250728-MULTI-Weekday-01,24609890-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162438,300083,1,1
30,250728-MULTI-Weekday-01,24609891-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162441,300083,1,1
30,250728-MULTI-Weekday-01,24609892-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162443,300083,1,1
30,250728-MULTI-Weekday-01,24609893-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162437,300083,1,1
30,250728-MULTI-Weekday-01,24609894-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162470,300083,1,1
30,250728-MULTI-Weekday-01,24609895-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162432,300083,1,1
30,250728-MULTI-Weekday-01,24609896-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162442,300083,1,1
30,250728-MULTI-Weekday-01,24609897-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162434,300083,1,1
30,250728-MULTI-Weekday-01,24609898-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162444,300083,1,1
30,250728-MULTI-Weekday-01,24609899-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162438,300083,1,1
30,250728-MULTI-Weekday-01,24609900-250728-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1162445,300083,1,1
30,250728-MULTI-Weekday-01,24609901-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162443,300081,1,1
30,250728-MULTI-Weekday-01,24609902-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162437,300081,1,1
30,250728-MULTI-Weekday-01,24609903-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162432,300081,1,1
30,250728-MULTI-Weekday-01,24609904-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162442,300081,1,1
30,250728-MULTI-Weekday-01,24609905-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162434,300081,1,1
30,250728-MULTI-Weekday-01,24609906-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162444,300081,1,1
30,250728-MULTI-Weekday-01,24609907-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162437,300081,1,1
30,250728-MULTI-Weekday-01,24609908-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162470,300081,1,1
30,250728-MULTI-Weekday-01,24609909-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162438,300081,1,1
30,250728-MULTI-Weekday-01,24609910-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162441,300081,1,1
30,250728-MULTI-Weekday-01,24609911-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162445,300081,1,1
30,250728-MULTI-Weekday-01,24609912-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162432,300081,1,1
30,250728-MULTI-Weekday-01,24609913-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162442,300081,1,1
30,250728-MULTI-Weekday-01,24609914-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162443,300081,1,1
30,250728-MULTI-Weekday-01,24609915-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162434,300081,1,1
30,250728-MULTI-Weekday-01,24609916-250728-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1162438,300081,1,1
